0,5971394, -0,1427206, 0,2620376, 88,2643921646977, 0
0,6344983, -0,1499288, 0,195226, 88,4876953029409, 50000
0,6638014, -0,1477694, 0,1262096, 86,974238737364, 50000
0,6937031, -0,1499876, 0,05053416, 87,5087663872207, 50000
0,7125308, -0,1577529, -0,02106126, 89,8645863906624, 50000
0,7399151, -0,1593946, -0,09235993, 91,2516476575346, 50000
0,7709168, -0,1679465, -0,1606375, 92,6059941397964, 50000
0,7844322, -0,2320324, -0,1976105, 92,6059941397964, 0
0,7807406, -0,3133007, -0,2044095, 99,1553853685576, 50000
0,7694826, -0,387198, -0,2330451, 97,8654691868906, 100000
0,7540489, -0,4588579, -0,2095324, 107,533589385433, 50000
0,74166, -0,5376524, -0,2086936, 107,932409118326, 50000
0,7410933, -0,6074324, -0,2151564, 111,983445728785, 50000
0,7229275, -0,6762259, -0,2233641, 120,192721121816, 50000
0,691487, -0,7483746, -0,2209578, 126,093558040408, 50000
0,7151946, -0,7728592, -0,2856691, 127,254899658643, 50000
0,7295433, -0,761511, -0,3602558, 125,627486650582, 0
0,7468191, -0,7580996, -0,4378023, 121,657868250047, 0
0,7551559, -0,747435, -0,5075373, 107,970501563358, 0
0,7535928, -0,7279258, -0,5795478, 85,4058969053483, 100000
0,7453794, -0,6702195, -0,6212503, 92,6686847833138, 0
0,7316024, -0,5955553, -0,6086543, 86,2160915947943, 0
0,7440109, -0,5201771, -0,6064497, 85,2093996386515, 100000
0,7384109, -0,4476529, -0,5867037, 86,5867359513154, 100000
0,7331495, -0,3691536, -0,5914873, 85,7736541548083, 0
0,743767, -0,2943342, -0,5911705, 88,4656486830156, 50000
0,7310646, -0,224192, -0,5828567, 88,4656486830156, 0
0,7421359, -0,1374341, -0,5800457, 78,4145065182832, 100000
0,7429031, -0,0600433, -0,5714694, 78,0650776331293, 99000
